rank,name,skillId,source,installCount,detailPath,detailUrl
38,p-video,p-video,/inferen-sh/skills,60279,inferen-sh/skills/p-video,https://skills.sh/inferen-sh/skills/p-video
39,qwen-image-2-pro,qwen-image-2-pro,/inferen-sh/skills,60244,inferen-sh/skills/qwen-image-2-pro,https://skills.sh/inferen-sh/skills/qwen-image-2-pro
40,nano-banana,nano-banana,/inferen-sh/skills,60243,inferen-sh/skills/nano-banana,https://skills.sh/inferen-sh/skills/nano-banana
41,p-image,p-image,/inferen-sh/skills,60224,inferen-sh/skills/p-image,https://skills.sh/inferen-sh/skills/p-image
42,infsh-cli,infsh-cli,/inferen-sh/skills,60216,inferen-sh/skills/infsh-cli,https://skills.sh/inferen-sh/skills/infsh-cli
43,brainstorming,brainstorming,/obra/superpowers,59747,obra/superpowers/brainstorming,https://skills.sh/obra/superpowers/brainstorming
44,azure-cloud-migrate,azure-cloud-migrate,/microsoft/github-copilot-for-azure,59312,microsoft/github-copilot-for-azure/azure-cloud-migrate,https://skills.sh/microsoft/github-copilot-for-azure/azure-cloud-migrate
45,microsoft-foundry,microsoft-foundry,/microsoft/azure-skills,54169,microsoft/azure-skills/microsoft-foundry,https://skills.sh/microsoft/azure-skills/microsoft-foundry
46,azure-ai,azure-ai,/microsoft/azure-skills,52937,microsoft/azure-skills/azure-ai,https://skills.sh/microsoft/azure-skills/azure-ai
47,azure-deploy,azure-deploy,/microsoft/azure-skills,52922,microsoft/azure-skills/azure-deploy,https://skills.sh/microsoft/azure-skills/azure-deploy
48,azure-diagnostics,azure-diagnostics,/microsoft/azure-skills,52912,microsoft/azure-skills/azure-diagnostics,https://skills.sh/microsoft/azure-skills/azure-diagnostics
49,entra-app-registration,entra-app-registration,/microsoft/azure-skills,52910,microsoft/azure-skills/entra-app-registration,https://skills.sh/microsoft/azure-skills/entra-app-registration
50,azure-prepare,azure-prepare,/microsoft/azure-skills,52909,microsoft/azure-skills/azure-prepare,https://skills.sh/microsoft/azure-skills/azure-prepare
51,azure-compute,azure-compute,/microsoft/azure-skills,52908,microsoft/azure-skills/azure-compute,https://skills.sh/microsoft/azure-skills/azure-compute
52,azure-cost-optimization,azure-cost-optimization,/microsoft/azure-skills,52907,microsoft/azure-skills/azure-cost-optimization,https://skills.sh/microsoft/azure-skills/azure-cost-optimization
53,azure-resource-lookup,azure-resource-lookup,/microsoft/azure-skills,52906,microsoft/azure-skills/azure-resource-lookup,https://skills.sh/microsoft/azure-skills/azure-resource-lookup
54,azure-rbac,azure-rbac,/microsoft/azure-skills,52905,microsoft/azure-skills/azure-rbac,https://skills.sh/microsoft/azure-skills/azure-rbac
55,azure-storage,azure-storage,/microsoft/azure-skills,52903,microsoft/azure-skills/azure-storage,https://skills.sh/microsoft/azure-skills/azure-storage
56,azure-compliance,azure-compliance,/microsoft/azure-skills,52902,microsoft/azure-skills/azure-compliance,https://skills.sh/microsoft/azure-skills/azure-compliance
57,appinsights-instrumentation,appinsights-instrumentation,/microsoft/azure-skills,52900,microsoft/azure-skills/appinsights-instrumentation,https://skills.sh/microsoft/azure-skills/appinsights-instrumentation
58,azure-aigateway,azure-aigateway,/microsoft/azure-skills,52900,microsoft/azure-skills/azure-aigateway,https://skills.sh/microsoft/azure-skills/azure-aigateway
59,azure-hosted-copilot-sdk,azure-hosted-copilot-sdk,/microsoft/azure-skills,52898,microsoft/azure-skills/azure-hosted-copilot-sdk,https://skills.sh/microsoft/azure-skills/azure-hosted-copilot-sdk
60,azure-kusto,azure-kusto,/microsoft/azure-skills,52898,microsoft/azure-skills/azure-kusto,https://skills.sh/microsoft/azure-skills/azure-kusto
61,azure-validate,azure-validate,/microsoft/azure-skills,52898,microsoft/azure-skills/azure-validate,https://skills.sh/microsoft/azure-skills/azure-validate
62,azure-resource-visualizer,azure-resource-visualizer,/microsoft/azure-skills,52897,microsoft/azure-skills/azure-resource-visualizer,https://skills.sh/microsoft/azure-skills/azure-resource-visualizer
63,azure-messaging,azure-messaging,/microsoft/azure-skills,52897,microsoft/azure-skills/azure-messaging,https://skills.sh/microsoft/azure-skills/azure-messaging
64,azure-cloud-migrate,azure-cloud-migrate,/microsoft/azure-skills,52896,microsoft/azure-skills/azure-cloud-migrate,https://skills.sh/microsoft/azure-skills/azure-cloud-migrate
65,browser-use,browser-use,/browser-use/browser-use,50209,browser-use/browser-use/browser-use,https://skills.sh/browser-use/browser-use/browser-use
66,seo-audit,seo-audit,/coreyhaines31/marketingskills,45738,coreyhaines31/marketingskills/seo-audit,https://skills.sh/coreyhaines31/marketingskills/seo-audit
67,pdf,pdf,/anthropics/skills,41045,anthropics/skills/pdf,https://skills.sh/anthropics/skills/pdf
68,copywriting,copywriting,/coreyhaines31/marketingskills,38477,coreyhaines31/marketingskills/copywriting,https://skills.sh/coreyhaines31/marketingskills/copywriting
