rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
32,official,32,0.881221938688265,0.704001,Google Gen AI Python SDK,/googleapis/python-genai,/googleapis/python-genai,43,816,162794,2026-03-06T00:09:34.621000Z,11d,8.5,True,83.7,repo,https://github.com/googleapis/python-genai,,0.765922,0.465594,0.632955,0.85,1.0,0.725491
33,official,33,0.8619218962281717,,/tiangolo/fastapi,/tiangolo/fastapi,/tiangolo/fastapi,,,,,,,,,,,,,,,,,
34,official,34,0.8604318929501645,,/vitejs/vite,/vitejs/vite,/vitejs/vite,,,,,,,,,,,,,,,,,
35,official,35,0.8519218742281234,,/vitest-dev/vitest,/vitest-dev/vitest,/vitest-dev/vitest,,,,,,,,,,,,,,,,,
36,official,36,0.8468918631620989,0.687121,OpenAI Python,/openai/openai-python,/openai/openai-python,51,309,57478,2026-03-12T00:03:41.835000Z,5d,9.1,True,76.7,repo,https://github.com/openai/openai-python,,0.749614,0.398308,0.578043,0.91,1.0,0.848527
37,official,37,0.8077817771199097,0.660696,Model Context Protocol Python SDK,/modelcontextprotocol/python-sdk,/modelcontextprotocol/python-sdk,60,212,56934,2026-03-11T00:55:12.549000Z,6d,7.8,True,79.8,repo,https://github.com/modelcontextprotocol/python-sdk,,0.734032,0.372252,0.577542,0.78,1.0,0.826
38,official,38,0.8025617656358844,0.691971,Spring Boot,/spring-projects/spring-boot,/spring-projects/spring-boot,59,844,289972,2026-03-12T08:07:23.150000Z,5d,7.5,True,89.2,repo,https://github.com/spring-projects/spring-boot,,0.735645,0.467934,0.663405,0.75,1.0,0.856666
39,official,39,0.7873417321518108,,/vuejs/docs,/vuejs/docs,/vuejs/docs,,,,,,,,,,,,,,,,,
40,official,40,0.7773317101297623,0.743595,NestJS,/nestjs/docs.nestjs.com,/nestjs/docs.nestjs.com,32,1699,387531,2026-03-05T21:55:31.573000Z,11d,9.5,True,87.6,repo,https://github.com/nestjs/docs.nestjs.com,,0.794005,0.516471,0.678701,0.95,1.0,0.723862
41,official,41,0.7468116429856145,0.755125,TypeScript,/microsoft/typescript,/microsoft/typescript,94,21444,3253921,2026-03-08T00:35:45.201000Z,9d,9.9,True,63.4,repo,https://github.com/microsoft/typescript,,0.690786,0.692474,0.790933,0.99,1.0,0.762716
42,official,42,0.7465816424796134,0.767051,Clerk,/clerk/clerk-docs,/clerk/clerk-docs,25,3512,1072205,2026-03-11T16:22:55.905000Z,5d,8.4,True,92.6,repo,https://github.com/clerk/clerk-docs,,0.817278,0.566868,0.732379,0.84,1.0,0.840917
43,official,43,0.7463316419296122,,/websites/nextjs,/websites/nextjs,/websites/nextjs,,,,,,,,,,,,,,,,,
44,official,44,0.7453516397736075,0.639849,DaisyUI,/saadeghi/daisyui,/saadeghi/daisyui,178,1237,350987,2025-10-30T01:18:16.717000Z,4mo,9.8,True,85,repo,https://github.com/saadeghi/daisyui,,0.628944,0.494451,0.673477,0.98,1.0,0.178249
45,official,45,0.7242915934415056,,/tanstack/router,/tanstack/router,/tanstack/router,,,,,,,,,,,,,,,,,
46,official,46,0.724181593199505,,/websites/fastapi_tiangolo,/websites/fastapi_tiangolo,/websites/fastapi_tiangolo,,,,,,,,,,,,,,,,,
47,official,47,0.709301560463433,0.687553,Zod,/colinhacks/zod,/colinhacks/zod,74,506,100094,2026-03-12T06:01:13.165000Z,5d,9.6,True,96.8,repo,https://github.com/colinhacks/zod,,0.713862,0.432465,0.607301,0.96,1.0,0.854528
48,official,48,0.7040815489794078,0.758173,Mastra,/mastra-ai/mastra,/mastra-ai/mastra,27,4589,1159971,2026-03-10T20:24:04.198000Z,6d,7.5,True,87.9,repo,https://github.com/mastra-ai/mastra,,0.810044,0.585435,0.736529,0.75,1.0,0.82174
49,official,49,0.6809614981152958,,/websites/supabase,/websites/supabase,/websites/supabase,,,,,,,,,,,,,,,,,
50,official,50,0.6749414848712667,0.735231,Better Auth,/llmstxt/better-auth_llms_txt,/llmstxt/better-auth_llms_txt,44,1955,423550,2026-03-10T14:18:13.395000Z,6d,9.3,True,87.4,llmstxt,https://www.better-auth.com/llms.txt,,0.763728,0.52621,0.683389,0.93,1.0,0.816061
51,estimated,,,0.793464,MDN Web Docs,/mdn/content,,68,39561,12168376,2026-03-12T20:48:02.758000Z,4d,9.9,True,76,repo,https://github.com/mdn/content,,0.722002,0.734993,0.860503,0.99,1.0,0.869786
52,estimated,,,0.773314,Terraform AWS Provider,/hashicorp/terraform-provider-aws,,77,21785,6284934,2026-03-12T15:57:33.326000Z,4d,9.8,True,75,repo,https://github.com/hashicorp/terraform-provider-aws,,0.710034,0.69357,0.825655,0.98,1.0,0.864728
53,estimated,,,0.762501,Python,/python/cpython,,58,10485,3142445,2026-03-13T20:59:08.514000Z,3d,8.9,True,78.1,repo,https://github.com/python/cpython,,0.737286,0.642798,0.789095,0.89,1.0,0.895962
54,estimated,,,0.758163,Godot Engine,/godotengine/godot-docs,,64,14565,3611205,2026-02-23T17:24:32.889000Z,21d,9.9,True,77.7,repo,https://github.com/godotengine/godot-docs,,0.727832,0.665617,0.796428,0.99,1.0,0.581029
55,estimated,,,0.751593,Playwright,/microsoft/playwright.dev,,52,6497,1429080,2026-03-05T18:13:22.403000Z,11d,9.5,True,84.3,repo,https://github.com/microsoft/playwright.dev,,0.747755,0.609571,0.747533,0.95,1.0,0.721177
56,estimated,,,0.75018,Bun,/oven-sh/bun,,42,3272,682073,2026-03-11T12:05:48.477000Z,5d,9.4,True,91.5,repo,https://github.com/oven-sh/bun,,0.768166,0.561955,0.70852,0.94,1.0,0.836729
57,estimated,,,0.74677,.NET,/dotnet/docs,,160,28624,10412831,2026-03-15T22:31:34.307000Z,1d,9.1,True,84.8,repo,https://github.com/dotnet/docs,,0.63929,0.712526,0.852285,0.91,1.0,0.954825
58,estimated,,,0.736148,Sentry,/getsentry/sentry-docs,,104,7498,2438649,2026-03-17T00:15:57.745000Z,8h,9,True,92,repo,https://github.com/getsentry/sentry-docs,,0.681016,0.619519,0.775721,0.9,1.0,0.98857
59,estimated,,,0.735337,Medusa,/medusajs/medusa,,143,19250,8121262,2026-03-06T16:30:59.627000Z,10d,9.3,True,66.9,repo,https://github.com/medusajs/medusa,,0.650183,0.68498,0.839175,0.93,1.0,0.737649
60,estimated,,,0.734647,Node.js,/nodejs/node,,96,10388,2740252,2026-03-07T21:08:41.690000Z,9d,9.1,True,94.8,repo,https://github.com/nodejs/node,,0.688753,0.642153,0.781871,0.91,1.0,0.759938
61,estimated,,,0.734052,Three.js,/mrdoob/three.js,,85,10942,2564856,2026-03-07T19:08:05.074000Z,9d,8.5,True,87.5,repo,https://github.com/mrdoob/three.js,,0.700502,0.64576,0.778382,0.85,1.0,0.758329
62,estimated,,,0.728288,Docker,/docker/docs,,88,4122,1249835,2026-03-08T19:11:08.835000Z,8d,9.9,True,88,repo,https://github.com/docker/docs,,0.697155,0.577985,0.740464,0.99,1.0,0.778038
63,estimated,,,0.726052,React,/facebook/react,,76,3393,916859,2026-03-12T00:39:56.439000Z,5d,9.2,True,52.8,repo,https://github.com/facebook/react,,0.711293,0.564475,0.724123,0.92,1.0,0.849132
64,estimated,,,0.726044,Remotion,/remotion-dev/remotion,,48,2602,785922,2026-03-07T08:31:40.923000Z,10d,8.2,True,87.2,repo,https://github.com/remotion-dev/remotion,,0.755415,0.546052,0.715995,0.82,1.0,0.749951
65,estimated,,,0.722381,Cloudflare,/cloudflare/cloudflare-docs,,134,15734,5982347,2026-02-18T08:16:48.859000Z,27d,9.3,True,75.6,repo,https://github.com/cloudflare/cloudflare-docs,,0.656484,0.670977,0.823053,0.93,1.0,0.526196
