rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
784,estimated,,,0.508002,MCP Context Forge,/ibm/mcp-context-forge,,7733,5134,1360236,2025-12-30T09:53:29.919000Z,2mo,9.6,True,61.3,repo,https://github.com/ibm/mcp-context-forge,,0.261315,0.593226,0.744929,0.96,1.0,0.280516
785,estimated,,,0.507848,RxJS,/reactivex/rxjs,,1196,233,32422,2025-10-18T23:18:13.363000Z,4mo,9.2,True,78.3,repo,https://github.com/reactivex/rxjs,,0.443452,0.37878,0.547844,0.92,1.0,0.167236
786,estimated,,,0.507701,Apache Dubbo,/apache/dubbo-website,,4051,2090,557047,2025-11-15T08:34:23.111000Z,4mo,9.1,True,88.4,repo,https://github.com/apache/dubbo-website,,0.324417,0.530844,0.69784,0.91,1.0,0.197367
787,estimated,,,0.507696,Ratatui,/ratatui/ratatui,,365,59,18014,2026-03-12T05:37:34.296000Z,5d,7.9,,81.9,repo,https://github.com/ratatui/ratatui,,0.559123,0.284283,0.516848,0.79,0.0,0.854128
788,estimated,,,0.507592,Embla Carousel,/davidjerleke/embla-carousel,,789,675,211089,2026-02-01T11:01:10.813000Z,1mo,8.2,,68.4,repo,https://github.com/davidjerleke/embla-carousel,,0.484016,0.45244,0.646658,0.82,0.0,0.405961
789,estimated,,,0.507578,OpenRouter SDK,/openrouterteam/typescript-sdk,,849,975,175479,2025-12-29T03:24:07.387000Z,2mo,8.8,,79.6,repo,https://github.com/openrouterteam/typescript-sdk,,0.47687,0.477941,0.636913,0.88,0.0,0.277223
790,estimated,,,0.507555,Restate,/restatedev/documentation,,2638,7277,1242832,2026-02-13T10:00:19.390000Z,1mo,8.4,,76.5,repo,https://github.com/restatedev/documentation,,0.366277,0.617442,0.740168,0.84,0.0,0.484331
791,estimated,,,0.507414,Bitrix24,/bitrix-tools/b24-rest-docs,,2207,12570,3987174,2025-09-26T11:43:42.487000Z,5mo,7.6,,63.7,repo,https://github.com/bitrix-tools/b24-rest-docs,,0.383683,0.65539,0.801652,0.76,0.0,0.148611
792,estimated,,,0.507356,Kyverno,/kyverno/website,,3496,1515,422260,2025-06-01T20:41:29.058000Z,9mo,9.6,True,,repo,https://github.com/kyverno/website,,0.338796,0.508517,0.683228,0.96,1.0,0.094193
793,estimated,,,0.507233,Python-pptx,/scanny/python-pptx,,440,378,76413,2025-10-19T21:22:25.331000Z,4mo,8.4,,82.6,repo,https://github.com/scanny/python-pptx,,0.540926,0.412262,0.593062,0.84,0.0,0.168098
794,estimated,,,0.507185,OpenGL,/khronosgroup/opengl-registry,,10355,15177,2963200,2025-06-09T08:24:26.270000Z,9mo,9.6,True,,repo,https://github.com/khronosgroup/opengl-registry,,0.232816,0.668475,0.785997,0.96,1.0,0.096461
795,estimated,,,0.507048,Serverpod,/serverpod/serverpod_docs,,3108,745,183674,2026-01-30T02:17:58.928000Z,1mo,9.2,True,77.4,repo,https://github.com/serverpod/serverpod_docs,,0.350277,0.459281,0.63932,0.92,1.0,0.39338
796,estimated,,,0.507029,KCL,/kcl-lang/kcl-lang.io,,10369,20897,2239469,2025-05-18T02:56:23.519000Z,10mo,9.4,True,,repo,https://github.com/kcl-lang/kcl-lang.io,,0.232684,0.69068,0.771227,0.94,1.0,0.090026
797,estimated,,,0.506937,Claude Code Action,/anthropics/claude-code-action,,579,133,41722,2026-03-04T22:46:19.553000Z,12d,8.8,,71.3,repo,https://github.com/anthropics/claude-code-action,,0.51418,0.340073,0.561146,0.88,0.0,0.707395
798,estimated,,,0.506771,Node.js,/nodejs/nodejs.org,,5097,3577,788921,2025-10-28T03:56:25.883000Z,4mo,9.1,True,75.5,repo,https://github.com/nodejs/nodejs.org,,0.302,0.568141,0.716196,0.91,1.0,0.17627
799,estimated,,,0.506696,RubyLLM,/crmne/ruby_llm,,3573,348,97016,2026-03-03T06:58:36.588000Z,14d,9.9,True,90.6,repo,https://github.com/crmne/ruby_llm,,0.33667,0.406536,0.605654,0.99,1.0,0.680778
800,estimated,,,0.506559,Fern,/fern-api/docs,,3983,1891,338121,2025-09-23T11:40:56.991000Z,5mo,9.7,True,76.4,repo,https://github.com/fern-api/docs,,0.326069,0.5239,0.671507,0.97,1.0,0.146433
801,estimated,,,0.506274,Ably Realtime,/ably/docs,,5418,2923,903687,2025-12-19T12:06:21.169000Z,2mo,9.1,True,75.3,repo,https://github.com/ably/docs,,0.296039,0.554126,0.72336,0.91,1.0,0.254553
802,estimated,,,0.506183,Akka.NET,/akkadotnet/akka.net,,6513,6293,1250635,2025-09-28T11:16:11.657000Z,5mo,9.1,True,82.7,repo,https://github.com/akkadotnet/akka.net,,0.278073,0.607356,0.740498,0.91,1.0,0.150084
803,estimated,,,0.506178,Rook,/rook/rook,,4347,909,332541,2026-02-21T22:25:05.971000Z,23d,9,True,87.6,repo,https://github.com/rook/rook,,0.317534,0.473079,0.67063,0.9,1.0,0.561547
804,estimated,,,0.506057,Microsoft MCP Servers,/microsoft/mcp,,6117,920,260411,2026-03-09T14:23:28.271000Z,7d,9.5,True,55.4,repo,https://github.com/microsoft/mcp,,0.284196,0.473913,0.657733,0.95,1.0,0.794527
805,estimated,,,0.506011,Rancher,/rancher/rancher-docs,,2854,19273,1128805,2025-10-19T01:40:36.334000Z,4mo,8.9,,41.1,repo,https://github.com/rancher/rancher-docs,,0.358597,0.685063,0.735092,0.89,0.0,0.167328
806,estimated,,,0.505915,MLForecast,/nixtla/mlforecast,,3870,542,106713,2026-03-01T17:26:40.536000Z,15d,9.6,True,81.6,repo,https://github.com/nixtla/mlforecast,,0.328878,0.437228,0.610679,0.96,1.0,0.657446
